"","cat_a","cat_b","estado","canal","gec","lift"
"220","ENERGIZANTES","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.78175907664011
"221","AGUA SIN GAS","ENERGIZANTES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.78888504378508
"222","COLAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.8347064268433
"223","ENERGIZANTES","AGUA CON GAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.9265010813444
"224","AGUA CON GAS","ENERGIZANTES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",1.9265010813444
"225","AGUA SIN GAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",2.06959044956321
"226","SABORES","AGUA SIN GAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",2.06959044956321
"227","AGUA CON GAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",2.17074388666844
"228","AGUA CON GAS","AGUA CON GAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",2.21342203185836
"229","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",2.28894163729679
"230","SABORES","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","CUSTOMIZADO",2.45952333373415
"231","COLAS","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.01838122190899
"232","AGUA SIN GAS","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.0233794111932
"233","COLAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.02769084356213
"234","COLAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.02854460551833
"235","COLAS","LÁCTEOS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.03293808368274
"236","AGUA SIN GAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.04054796011925
"237","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.0427535222582
"238","SABORES","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.04483528586499
"239","NARANJADAS Y BEBIDAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.05004302955237
"240","LÁCTEOS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.05524290446366
"241","AGUA SIN GAS","LÁCTEOS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.05640674764653
"242","LÁCTEOS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.06929859691693
"243","NARANJADAS Y BEBIDAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.0892222051603
"244","AGUA SIN GAS","AGUA SIN GAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","ORO",1.2419374250414
"245","COLAS","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.08177814264261
"246","AGUA SIN GAS","COLAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.13066541417853
"247","COLAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.13502223878493
"248","COLAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.13763412219244
"249","COLAS","LÁCTEOS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.15469548430077
"250","AGUA SIN GAS","NARANJADAS Y BEBIDAS","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.22490547075047
"251","AGUA SIN GAS","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.2303387984217
"252","SABORES","SABORES","VDM Oriente","PUNTO DE VENTA TRADICIONAL","PLATA",1.23382675374645
